"pe","lwr","upr","twitter"
-0.244604,-0.2729776,-0.21555115,"tasnimnews_fa"
3.746195,3.456552,4.030165,"a_alirezabeigi"
-0.0744599,-0.1268376,-0.02230769,"mashreghnews"
0.3842625,0.2751238,0.49350235,"icana_ir"
3.69138,3.641778,3.7434215,"ahadazadikhah"
3.760985,3.67619,3.849318,"ahmadsalek_ir"
2.73162,2.3234495,3.116428,"r_hazratpour"
4.183875,3.9128635,4.43832,"abdullah_sameri"
4.4887,4.1080635,4.8999115,"dehghanikamal"
2.183735,2.1168865,2.253224,"drmdehghan"
2.356015,1.850467,2.8483125,"ahmad_moradi47"
3.268565,3.211943,3.3266755,"parvanehmafi"
0.948343,0.8973517,0.99883515,"nahavandian_ir"
3.28915,3.2421635,3.3343745,"j_mohebinia"
4.01292,3.7818435,4.2273765,"ahmadhematii"
1.878335,1.8301035,1.928778,"nahid_tajedin"
1.534785,1.4766625,1.5859235,"ma_vakili"
2.91549,2.8173455,3.022866,"khedri_ir"
3.73805,3.309519,4.1047315,"hedayatkhademi"
3.4819,3.431507,3.530881,"zahedi_ir"
3.275405,3.091098,3.4622245,"frj_rajabi"
2.226165,2.181136,2.2782335,"jafarzadeh_ir"
3.73266,3.6043265,3.858884,"ghasemahmadi_ir"
4.307925,4.2206505,4.386668,"_mahdi_sheikh"
4.374145,4.1766745,4.573976,"mrezanajafi"
2.45724,2.2601825,2.6547705,"drpezeshkian_ir"
2.40333,2.322363,2.484531,"k_karampour"
4.10957,4.0340805,4.180712,"yagob_shivyari"
2.01902,1.7581135,2.2733925,"chenarani_ir"
4.396175,4.157829,4.6117875,"mrsabaghian"
-0.1053135,-0.1655162,-0.0435478650000001,"yjcagency"
1.91084,1.8408885,1.9801545,"ahmadamirabadi1"
3.807345,3.6573165,3.942847,"validadashi"
3.07853,3.0284795,3.1248555,"a_yarmohammadi"
3.839235,3.7480885,3.9279405,"naderghazipor"
2.00137,1.896816,2.0882435,"mounesan_ir"
4.24183,3.8940185,4.6308825,"shahabnaderiii"
0.267027,0.23586795,0.29519885,"hassanrouhani"
3.94251,3.835054,4.0491825,"mohmmadghomi"
1.398525,1.2727595,1.518275,"hajimirzaee_m"
3.69017,3.2947855,4.052592,"davood_m_ir"
2.24977,2.201017,2.2966725,"parsaeib"
0.6677655,0.6349562,0.6990589,"alimotahari_ir"
1.172485,1.1111095,1.233382,"mb_nobakht"
3.831745,3.7336695,3.927316,"kolivand98"
3.809295,3.5147135,4.1265325,"drtorki_ir"
1.984575,1.9315115,2.0379485,"khojasteh_ir"
3.475105,3.412057,3.5383335,"hajideligani"
0.397731,0.27229945,0.51923455,"khamenei_ir"
0.9896245,0.89497235,1.0749035,"saeednamaki"
1.89799,1.849295,1.943593,"tayebehsiavash"
4.060415,3.782354,4.327272,"aziz_akbariyan"
3.16447,3.0816805,3.240101,"ehsanghazizade"
2.450855,2.082024,2.791183,"rahmanifazli"
2.448525,2.4009055,2.492057,"saeidiftm"
-0.160221,-0.2017191,-0.12045095,"khabaronlinee"
-0.244029,-0.2824195,-0.20695995,"ilnanews"
1.20748,1.0969575,1.3137095,"bijanzanganeh"
1.619015,1.4274685,1.804466,"ghazizadehsa"
2.596135,2.540251,2.6578165,"a_rahimi_mp"
0.7985405,0.76453515,0.8358704,"kavakebian_ir"
0.99269,0.94431405,1.033442,"ir_aref"
3.51102,3.1967675,3.8071825,"ramin_nqp"
3.88626,3.7866835,3.9874235,"ali__ghorbani"
-0.17899,-0.2216777,-0.1310159,"irna_1313"
1.675495,1.6074255,1.745169,"shariatmadari_m"
0.218094,-0.00650913600000003,0.4375825,"asrirannews"
3.264335,3.185271,3.3380955,"mohammad_damadi"
4.029435,3.948237,4.1128805,"alikord_ir"
3.05884,2.6813015,3.435367,"zahrasaeedi8"
2.54768,2.3586965,2.7368145,"jalali_kazem"
3.644145,3.494855,3.801075,"nikfaar_ir"
1.653045,1.607927,1.700578,"mazaniahmad"
2.06148,2.017525,2.1041615,"ghheidari"
2.34498,2.2893495,2.39655,"alinajafi_ir"
0.681562,0.6386928,0.72088555,"ebtekarm_ir"
4.140675,3.893504,4.3873555,"p0kmsy3q2hwcsno"
1.262635,1.192685,1.3254175,"alirabiei_ir"
0.2790635,0.253009,0.30416305,"jzarif"
4.323665,4.176853,4.4718525,"negahbanm"
3.80463,3.747367,3.860546,"mousavilargani"
3.62526,3.186943,4.026399,"adalhashemipour"
2.26746,1.9942435,2.510443,"bahreini_ir"
4.027775,3.9608625,4.0847355,"homayonhashemi"
0.004012365,-0.022739795,0.03139326,"sharghdaily"
3.625705,3.532147,3.7140695,"falahati_farhad"
0.006231225,-0.078252655,0.093725555,"hamshahrinews"
2.295065,2.082212,2.5002005,"smjabtahi"
2.99788,2.7601595,3.225098,"rezarahmani_ir"
3.04963,2.818063,3.296292,"rezakarimi94"
1.693985,1.3445145,2.0055275,"zonnoour"
3.706915,3.2613485,4.156656,"karimi_aliakbar"
3.76172,3.698549,3.8223005,"yousefnejad_ir"
4.1232,3.696998,4.549202,"vadeyesadegh1"
3.391165,3.314259,3.458713,"drsadatinejad"
4.11981,3.7190385,4.5238935,"davoodm51495905"
0.543361,0.5125695,0.57250905,"mah_sadeghi"
3.65289,3.590153,3.710442,"soroushabolfazl"
1.79013,1.744586,1.8420325,"ak_hosseinzadeh"
2.71525,2.665727,2.7722905,"sfaridmousavi"
2.465365,2.416332,2.512072,"h_zarabadi"
-0.1516085,-0.2592152,-0.03938048,"mehrnewscom"
3.89244,3.7877365,3.992791,"behrouzbonyadi"
2.021615,1.97974,2.0650895,"badamchi_media"
4.169245,3.907731,4.4503885,"seyed_jasemi"
1.14285,0.77594705,1.5195965,"alilarijany"
1.15587,1.079646,1.224881,"p_salahshouri"
-0.208618,-0.23621345,-0.1813412,"isna_farsi"
0.603547,0.57358995,0.6327592,"eshaq_jahangiri"
-0.0894529,-0.12228875,-0.05609246,"irannewspaper"
1.676485,1.6298735,1.7208575,"elyashazrati"
2.99415,2.9358085,3.0528575,"hajibabaei_ir"
3.933505,3.727506,4.123706,"dr_ahmadhamze"
-0.231481,-0.2607396,-0.19937815,"farsnews_agency"
3.953975,3.832204,4.0562945,"abasgoudarzi_ir"
2.57302,2.230357,2.9002465,"dr_hadibahadori"
-0.0767054,-0.1083641,-0.043122365,"etemadonline"
1.48693,1.359589,1.613895,"dr_vaezi"
4.264045,3.8902275,4.667448,"drfarhadtajari"
4.167915,4.051896,4.270688,"anarakimohamadi"
3.381185,3.3061255,3.456044,"alisari1397"
3.06844,2.648013,3.446605,"jamali_ir"
1.75027,1.596909,1.900864,"drfalahatpishe"
4.23444,4.137939,4.316087,"hassan_kamran_d"
3.8498,3.808905,3.891558,"drjalilrahimi"
1.75058,1.7077455,1.793452,"oladghobad_f"
2.252415,2.2120255,2.2945655,"s_fatemehoseini"
3.736555,3.672879,3.7923075,"hassannooroozi"
2.07371,1.627476,2.4924295,"haj_zareii"
2.8015,2.7562155,2.8439035,"zahrasaei_ir"
0.283496,-0.0426939800000001,0.62372345,"fintribune"
