Name of official/organization,Twitter handle,Official position,Faction,Political affiliation
Ahad Azadikhah,@ahadazadikhah,MP - Malayer (Hamedan),Velaayat,Principlist
Seyyed Hossein Afzali,,MP - Eghlid (Fars),,Reformist
Ahmad Anaraki Mohamadi,@anarakimohamadi,MP - Rafsanjan & Anar (Kerman),List of Hope,Reformist
Rouhollah Babaei Saleh,,MP - Boein Zahra,List of Hope,Reformist
Mohammad Beyranvandi,,MP - Khorram Abad (Lorestan),List of Hope,Reformist
Mohammadjavad Jamali Nobandegan,,MP - Fassa (Fars),,Principlist
Mohammadsadegh Hasani,@hasanijoryabi,MP - Rasht (Gilan),List of Hope,Reformist
Ahmad Hamzeh,@dr_ahmadhamze,MP - Kerman (Kerman),List of Hope,Reformist
Seyyed Alaeddin Khadem,,MP - Sepidan (Fars),,Independent
Masoud Rezaei,,MP - Shiraz (Fars),List of Hope,Reformist
Seyyedeh Hamideh Zarabadi,@H_Zarabadi,MP - Qazvin (Qazvin),List of Hope,Reformist
Hassan Lotfi,,MP - Razan (Hamedan),List of Hope,Reformist
Bahram Parsaei,@ParsaeiB,MP - Shiraz (Fars),List of Hope,Reformist
Masoud Goudarzi,,MP - Mamassani (Fars),List of Hope,Reformist
Jorjik Abrahamian,,MP - Armenian of the South (Isfahan),Minorities,Independent
Mohammad Ashouri Taziyani,,MP - Bandar Abbas (Hormozgan),Velaayat,Principlist
Masoumeh Aghapour Alishahi,,MP - Shabestar (Azarbaijan-e Sharghi),,Reformist
Ali Ebrahimi,,MP - Shazand (Markazi),List of Hope,Reformist
Javadkazem Nasabolbaji,,MP - Ahvaz (Khuzestan),List of Hope,Reformist
Alireza Ebrahimi,,MP - Azadshahr (Golestan),,Independent
Seyyed Mohammadjavad Abtahi,@SmjAbtahi,MP - Khomeinishahr (Isfahan),Velaayat,Principlist
Abolfazl Aboutorabi,,MP - Najaf Abad (Esfahan),Velaayat,Principlist
Fereydoon Ahmadi,,MP - Zanjan (Zanjan),,Principlist
Ghasem Ahmadi,@Ghasemahmadi_ir,MP - Chaloos (Mazandaran),Voice of the Nation,Principlist
Esfandiyar Ekhtiari Kasnaviye,,MP - Zorostrian minority,Minorities,Independent
Seyyed Ali Adyani Rad,,MP - Jooybar (Mazandaran),Velaayat,Principlist
Aliardeshir Larijani,@alilarijany,MP - Qom (Qom),List of Hope,Principlist
Ali Asadi Karam,,MP - Shahr-e Babak (Kerman),List of Hope,Reformist
Ali Esmaeili,,MP - Mahmood Abad (Mazandaran),,Independent
Dariush Esmaeili,,MP - Sarvestan (Fars),Velaayat,Principlist
Ziaollah Ezazi,,MP - Bonab (Azarbayjan-e Sharghi),Velaayat,Principlist
Mohammad Mehdi Eftekhari,,MP - Fouman (Gilan),List of Hope,Reformist
Nazar Afzali,,MP - Sarbisheh (Khorasan Jonoubi),Velaayat,Principlist
Gholiollah Ghiolizadeh,,MP - Khoda Afarin (Azarbayjan-e Sharghi),Velaayat,Principlist
Mohammadreza Amirhassan Khani,,MP - Tabas (Khorasan Jonoubi),,Principlist
Ahmad Amirabadi Farahani,@ahmadamirabadi1,MP - Qom (Qom),,Principlist
Sakineh Almasi,,MP - Jam (Boushehr),,Independent
Reza Ansari,,MP - Darab (Fars),List of Hope,Reformist
Mohammadnaeim Aminifard,,MP - Iranshahr (Sistan va Balouchestan),,Independent
Seyyed Hamzeh Amini,,MP - Hashtroud (Azarbayjan Sharghi),,Independent
Salaam Amini,,MP - Ilam (Ilam),,Independent
Hossein Amiri Khamkani,,MP - Zarand (Kerman),List of Hope,Reformist
Farideh Oladghobad,@oladghobad_f,MP - Tehran (Tehran),List of Hope,Reformist
Ali Akbari,,MP - Bojnourd (Khorasan Shomali),List of Hope,Reformist
Ali Akbari,,MP - Shiraz (Fars),List of Hope,Reformist
Aziz Akbarian,@aziz_akbariyan,MP - Eshtahard (Alborz),,Principlist
Abdolghafour Irannejad,,MP - Chabahar (Sistan va Balouchestan),,Principlist
Mohammadreza Badamchi,@Badamchi_Media,MP - Tehran (Tehran),List of Hope,Reformist
Saeid Bastani,,MP - Torbat Heydariye (Khorasan Razavi),List of Hope,Reformist
Yonathan Betkolia,,MP - Assyrian Christians,Minorities,Independent
Ali Bakhtiar,,MP - Khansar (Esfahan),List of Hope,Reformist
Ali Bakhtiari,,MP - Baft (Yazd),List of Hope,Reformist
Sodeif Badri,,MP - Ardebil (Ardebil),,Principlist
Shahrooz Barzegar,,MP - Salmaas (Azarbayjan-e Gharbi),List of Hope,Reformist
Alaeddin Boroujerdi,,MP - Borujerd (Lorestan),Velaayat,Principlist
Mohammadmehdi Boroumandi,,MP - Marvdasht (Fars),Velaayat,Principlist
Hamid Banaei,,MP - Gonabad (Khorasan Razavi),,Principlist
Seyyed Hadi Bahadori,@dr_hadibahadori,MP - Oroumiyeh (Azarbayjan-e Gharbi),List of Hope,Reformist
Hassan Bahramnia,,MP - Nahavand (Hamedan),Velaayat,Principlist
Mahmoud Bahmani,,MP - Savojbolagh (Alborz),,Principlist
Ahmad Bigdeli,,MP - Khodabandeh (Zanjan),List of Hope,Reformist
Mohsen Biglari,,MP - Saghez (Kordestan),Voice of the Nation,Independent
Shahabeddin Bimeghdar,,MP - Tabriz (Azarbayjan-e Sharghi),List of Hope,Reformist
Abbas Papizadeh,,MP - Dezfoul (Khuzestan),,Principlist
Masoud Pezeshkian,@drpezeshkian_ir,MP - Tabriz (Azarbayjan-e Sharghi),List of Hope,Reformist
Nasrollah Pejmanfar,,MP - Mashhad (Khorasan Razavi),Velaayat,Principlist
Mohammadreza Pourebrahimi,Suspended,MP - Kerman (Kerman),Velaayat,Principlist
Abbasali Pourbafrani,,MP - Naein (Esfahan),,Independent
Shokour Pourhossein,,MP - Parsabad (Ardebil),List of Hope,Reformist
Mohammadali Pourmokhtar,,MP - Kaboudarahang (Hamedan),Velaayat,Principlist
Mohammadreza Tabesh,,MP - Ardekan (Yazd),List of Hope,Reformist
Nahid Tajedin,@Nahid_Tajedin,MP - Esfahan (Esfahan),List of Hope,Reformist
Gholamreza Tajgardoon,@tajgardoonir,MP - Gachsaran (Kohgouliyeh va Boyerahmad),List of Hope,Reformist
Farhad Tajri,@Drfarhadtajari,MP - Ghasr-e Shirin (Kermanshah),,Principlist
Nourmohammad Torbatinejad,,MP - Gorgan (Golestan),List of Hope,Reformist
Akbar Torki,@drtorki_ir,MP - Chadgan (Esfahan),Velaayat,Principlist
Seyyed Ghasem Jasemi,@seyed_jasemi,MP - Kermanshah (Kermanshah),Velaayat,Principlist
Jamshid Jafarpour,,MP - Lar (Fars),Velaayat,Principlist
Gholamali Jafarzadeh Iman Abadi,@Jafarzadeh_ir,MP - Rasht (Gilan),Velaayat,Reformist
Soheyla Jelodarzadeh,,MP - Tehran (Tehran),List of Hope,Reformist
Kazem Jalali,@jalali_kazem,MP - Tehran (Tehran),Voice of the Nation,Reformist
Ali Jalili,@AliJali67834940,MP - Maragheh (Azarbayjan Sharghi),,Independent (w)
Manouchehr Jamali,@jamali_ir,MP - Roudbar (Gilan),List of Hope,Reformist
Hajar Chenarani,@Chenarani_ir,MP - Firouze and Neyshabour (Khorasan-e Razavi),,Principlist
Abdollah Hatamiyan,,MP - Dargaz (Khorasan-e Razavi),List of Hope,Reformist
Hamidreza Haji Babaei,@hajibabaei_ir,MP - Hamedan (Hamedan),Velaayat,Principlist
Hosseinali Haji Deligani,@HajiDeligani,MP - Shahin Shahr (Esfahan),Velaayat,Principlist
Abolfazl Hassan Beigi,,MP - Damghan (Semnan),,Independent
Shahbaz Hassanpour Biglari,@sh_hasanpour,MP - Sirjan (Kerman),,Independent
Mohammad Hassannejad,,MP - Marand and Jolfa (Azarbayjan-e Sharghi),,Principlist
Fereydoun Hassanvand,@Dr_f_hasanvand,MP - Andimeshk (Khouzestan),Velaayat,Principlist
Abdolkarim Hosseinzadeh,@AK_Hosseinzadeh,MP - Naghdeh (Azarbayjan-e Gharbi),List of Hope,Reformist
Mohammadhossein Hossein Zadeh Bahreyni,@Bahreini_ir,MP - Mashhad and Kalaat (Khorasan-e Razavi),Velaayat,Principlist
Mohammad Hoseini,@m_hoseini_ir,MP - Tafresh (Markazi),,Independent
Seyyedeh Fatemeh Hosseini,@S_FatemeHoseini,MP - Tehran (Tehran),,Reformist
Seyyed Hassan Hoseini Shahroudi,,MP - Shahroud (Semnan),Velaayat,Principlist
Seyyed Javad Hosseinikia,,MP - Songhor (Kermanshah),Velaayat,Principlist
Rouhollah Hazratpour Talla Tappeh,@R_Hazratpour,MP - Oroumiyeh (Azarbayjan Gharbi),,Independent
Elyas Hazrati,@elyashazrati,MP - Tehran (Tehran),List of Hope,Reformist
Gholamreza Heidari,@Ghheidari,MP - Tehran (Tehran),List of Hope,Reformist
Seyyed Morteza Khatami,,MP - Mahneshan (Zanjan),,Independent
Hedayatollah Khademi,@hedayatkhademi,MP - Izeh (Khouzestan),,Independent
Mohammad Khaledi,,MP - Lordegn (Chaharmahal va Bakhtiyari),,Independent
Bashir Khaleghi,,MP - Khalkhal (Ardebil),,Principlist
Karen Khanlari,,MP - Christians of the North of Iran,Minorities,Independent
Amir Khojasteh,@Khojasteh_ir,MP - Hamedan (Hamedan),Velaayat,Principlist
Mohammad Khodabakhshi,,MP - Aligoudarz (Lorestan),,Principlist
Salman Khodadadi,,MP - Malekan (Azarbayjan-e Sharghi),,Principlist
Abdolhamid Khedri,@khedri_ir,MP - Boushehr (Boushehr),List of Hope,Reformist
Hasan Khastehband,,MP - Bandar Anzali (Gilan),Velaayat,Principlist
Rasoul Khezri,@rasoul_khezri,MP - Piranshahr (Azarbayjan-e Gharbi),,Principlist
Vali Dadashi,@validadashi,MP - Astara (Gilan),,Principlist
Mohammad Damadi,@mohammad_damadi,MP - Sari (Mazandaran),List of Hope,Reformist
Yousef Davoudi,,MP - Sarab (Azarbayjan-e Sharghi),,Independent
Mohammadbaset Dorazehi,,MP - Saravan (Sistan va Balouchestan),,Independent
Seyyed Kazem Delkhosh,@skdelkhosh,MP - Some'e Sara (Gilan),Voice of the Nation,Principlist
Kamal Dehghani Firouzabadi,@DehghaniKamal,MP - Taft (Yazd),List of Hope,Reformist
Mohammad Dehghani,@drmdehghan,MP - Chenaran (Khorasan-e Razavi),Velaayat,Principlist
Habibollah Dahmardeh,,MP - Zabol (Sistan va Balouchestan),,Principlist
Seyyedeh Fatemeh Zolghadr,,MP - Tehran (Tehran),List of Hope,Reformist
Seyyed Mostafa Zolghadr,,MP - Minab (Hormozgan),List of Hope,Reformist
Mojtaba Zonnouri,@zonnoour,MP - Qom (Qom),Velaayat,Principlist
Khadijeh Rabeie,,MP - Boroujen (Chaharmahal va Bakhtiyari),,Independent
Farajollah Rajabi,@frj_rajabi,MP - Shiraz (Fars),List of Hope,Reformist
Alireza Rahimi,@a_rahimi_mp,MP - Tehran (Tehran),List of Hope,Reformist
Jalil Rahimi Jahanabadi,@Drjalilrahimi,MP - Torbat Jam (Khorasan Razavi),,Reformist
Ali Rostamian,,MP - Delfan (Lorestan),,Independent
Hossein Rezazadeh,,MP - Kazeroun (Fars),,Reformist
Mohammad Ebrahim Rezaei,,MP - Khomeyn (Markazi),,Independent
Mohammadreza Rezaei Kouchi,,MP - Jahrom (Fars),Velaayat,Principlist
Abdollah Razian,,MP - Ghaem Shahr (Mazandaran),List of Hope,Reformist
Akbar Ranjbarzadeh,Account suspended,MP - Asad Abad (Hamedan),Velaayat,Principlist
Rahim Zareh,@DrRahimZare,MP - Abadeh (Fars),Voice of the Nation,Independent
Gholammohammad Zarei,@haj_zareii,MP - Boyerahmad (Kohkouliyeh va Boyer Ahmad),Voice of the Nation,Independent
Mohammadmehdi Zahedi,@Zahedi_ir,MP - Kerman (Kerman),Velaayat,Principlist
Seyyed Javad Sadatinejad,@drsadatinejad,MP - Kashan (Esfahan),Velaayat,Principlist
Ali Sari,@AliSari1397,MP - Ahvaz (Khuzestan),Fraction of Hope,Reformist
Ghasem Saedi,@ghasemsaedi1,MP - Dasht-e Azadegan (Khouzestan),Velaayat,Principlist
Abolfazl Soroush,@SoroushAbolfazl,MP -Tehran (Tehran),List of Hope,Reformist
Zahra Saei,@zahrasaei_ir,MP - Tabriz (Azarbayjan-e Sharghi),Voice of the Nation,Reformist
Ahmad Salek Kashani,@ahmadsalek_ir,MP - Esfahan (Esfahan),Velaayat,Principlist
Abdollah Sameri,@abdullah_sameri,MP - Khorram Shahr (Khouzestan),,Independent
Ramezan Ali Sobhanifar,@ASobhanifar,MP - Sabzevar (Khorasan-e Razavi),,Reformist
Mohammadbagher Sa'adat,,MP - Dashtestan (Boushehr),List of Hope,Reformist
Mohammad Esmaeil Saeidi,,MP - Tabriz (Azarbayjan-e Sharghi),,Principlist (w)
Fatemeh Saeedi,@saeidiftm,MP - Tehran (Tehran),,Reformist
Zahra Saeedi,@Zahrasaeedi8,MP - Mobarakeh (Esfahan),,Independent
Parvaneh Salahshouri,@P_Salahshouri,MP - Tehran (Tehran),List of Hope,Reformist
Hassan Soleimani,,MP - Kangavar (Kermanshah),Velaayat,Principlist
Asghar Salimi,@dr_asghar_salimi,MP - Semirom (Esfahan),List of Hope,Reformist
Alireza Salimi,@dralirezasalimi,MP - Mahallat (Markazi),Voice of the Nation,Principlist
Tayebeh Siavashi,@TayebehSiavash,MP - Tehran (Tehran),List of Hope,Reformist
Alimohammad Shaeri,,MP - Behshahr (Mazandaran),,Principlist
Gholamreza Sharafi,,MP - Abadan (Khouzestan),Velaayat,Principlist
Shamsollah Shariatnejad,,MP - Tonkabon (Mazandaran),List of Hope,Reformist
Eynollah Sharifpour,,MP - Maku (Azarbayjan-e Gharbi),List of Hope,Reformist
Nasser Sharifi,,MP - Bandar Lengeh (Hormozgan),,Principlist
Seyyed Kamaleddin Shariyari,,MP - Dashti (Boushehr),Velaayat,Principlist
Hosseinali Shariyari,,MP - Zahedan (Sistan va Balouchestan),Velaayat,Principlist
Hadi Shooshtari,,MP - Ghoochan (Khorasan-e Razavi),Voice of the Nation,Reformist
Mahmoud Shekari,,MP - Tavalesh (Gilan),Velaayat,Principlist
Mehdi Sheykh,@_mahdi_sheikh,MP - Tehran (Tehran),List of Hope,Reformist
Reza Shiran Khorasani,@shirankhorasani,MP - Mashhad (Khorasan Razavi),Velaayat,Principlist
